                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97927,                 3.4646,                 1.3564,                0.60873,                0.89569,                0.88831,                 0.6223,                 1.4116,                 1.3258,                 1.2507,                      0,                      0,                      0
                      2,                 1.3627,                 2.8458,                 1.6623,                0.60096,                0.88635,                0.88791,                0.63471,                 1.4541,                  1.351,                 1.2632,             1.1429e-06,             1.1429e-06,             1.1429e-06
                      3,                 1.2939,                 3.5817,                 1.6968,                0.53657,                0.84054,                0.83156,                0.59958,                 1.4569,                 1.3791,                 1.2746,             2.1915e-06,             2.1915e-06,             2.1915e-06
                      4,                 1.3873,                 3.6925,                 1.7285,                0.55462,                0.83333,                0.83141,                0.59762,                 1.4801,                 1.4156,                 1.2834,             3.1459e-06,             3.1459e-06,             3.1459e-06
                      5,                  1.026,                 2.3358,                 1.2787,                0.57556,                0.83333,                0.83176,                0.59767,                 1.4874,                 1.4489,                 1.2887,              4.006e-06,              4.006e-06,              4.006e-06
                      6,                 1.0424,                 3.2011,                 1.4132,                0.85033,                0.56667,                0.87129,                0.56939,                  1.493,                  1.512,                 1.2994,             4.7719e-06,             4.7719e-06,             4.7719e-06
                      7,                 1.2386,                 3.0013,                 1.4735,                0.82401,                0.56667,                0.88626,                0.56739,                 1.5012,                 1.5711,                 1.3138,             5.4435e-06,             5.4435e-06,             5.4435e-06
                      8,                 1.1645,                 2.5766,                 1.6521,                0.81488,                0.56667,                 0.8862,                0.56538,                 1.5204,                 1.6293,                 1.3319,             6.0209e-06,             6.0209e-06,             6.0209e-06
                      9,                0.92812,                 1.9981,                 1.3467,                0.80811,                0.58333,                0.77966,                0.54961,                 1.5266,                 1.6764,                 1.3448,             6.5041e-06,             6.5041e-06,             6.5041e-06
                     10,                 1.1665,                 2.6073,                 1.5897,                0.77886,                0.58333,                0.77383,                0.55716,                 1.5407,                 1.7416,                 1.3502,              6.893e-06,              6.893e-06,              6.893e-06
                     11,                 1.1035,                 2.2447,                  1.279,                  0.758,                0.58333,                0.74719,                0.51797,                  1.552,                  1.784,                 1.3564,             7.1876e-06,             7.1876e-06,             7.1876e-06
                     12,                 1.1177,                  3.201,                 1.4627,                0.74006,                0.58333,                0.74722,                0.51804,                 1.5553,                 1.8129,                 1.3654,              7.388e-06,              7.388e-06,              7.388e-06
                     13,                0.90736,                 2.2404,                 1.2735,                0.73545,                0.58333,                0.74376,                0.51666,                 1.5567,                  1.837,                 1.3708,             7.4941e-06,             7.4941e-06,             7.4941e-06
                     14,                  1.232,                 2.7944,                 1.5874,                0.77136,                0.58333,                0.74729,                 0.5263,                 1.5623,                 1.8774,                 1.3736,              7.506e-06,              7.506e-06,              7.506e-06
                     15,                0.88577,                 1.8981,                 1.2412,                0.95079,                0.39126,                0.74716,                0.52615,                 1.5554,                 1.8946,                 1.3704,             7.4237e-06,             7.4237e-06,             7.4237e-06
                     16,                 1.1083,                 2.0201,                 1.3878,                0.95075,                0.39159,                0.74819,                0.52694,                 1.5562,                  1.937,                 1.3708,             7.2471e-06,             7.2471e-06,             7.2471e-06
                     17,                0.95726,                 2.2968,                 1.2442,                0.95166,                0.39082,                0.74791,                0.57665,                 1.5474,                 1.9283,                 1.3663,             6.9763e-06,             6.9763e-06,             6.9763e-06
                     18,                0.79337,                 1.7006,                 1.1915,                0.95166,                0.39082,                0.74791,                0.57665,                 1.5474,                 1.9283,                 1.3663,             6.6112e-06,             6.6112e-06,             6.6112e-06
                     19,                0.89347,                 1.2594,                 1.1682,                0.95144,                0.38917,                0.66475,                0.50854,                 1.5448,                 1.9618,                  1.355,             6.1518e-06,             6.1518e-06,             6.1518e-06
                     20,                0.74518,                 1.5189,                0.96549,                0.95144,                0.38917,                0.66475,                0.50854,                 1.5448,                 1.9618,                  1.355,             5.5982e-06,             5.5982e-06,             5.5982e-06
                     21,                0.83906,                 1.6538,                 1.2125,                0.95038,                0.38746,                0.66513,                0.50052,                 1.5577,                 2.0349,                 1.3491,             4.9504e-06,             4.9504e-06,             4.9504e-06
                     22,                0.90514,                 1.8673,                 1.2733,                0.95038,                0.38746,                0.66513,                0.50052,                 1.5577,                 2.0349,                 1.3491,             4.2083e-06,             4.2083e-06,             4.2083e-06
                     23,                0.76912,                  1.614,                 1.1852,                0.94852,                0.38685,                0.62333,                0.47637,                 1.5813,                 2.0831,                 1.3525,              3.372e-06,              3.372e-06,              3.372e-06
                     24,                 0.7893,                 1.2479,                 1.0852,                0.94852,                0.38685,                0.62333,                0.47637,                 1.5813,                 2.0831,                 1.3525,             2.4414e-06,             2.4414e-06,             2.4414e-06
                     25,                0.70148,                  1.299,                0.99189,                0.94379,                0.38333,                0.61056,                0.47131,                 1.5874,                 2.1133,                 1.3591,             1.4166e-06,             1.4166e-06,             1.4166e-06
